year,return_year,year_profit,ticker
2000,-0.3325,-3325.0,AAPL
2001,0.1173,1173.0,AAPL
2002,-0.0932,-932.0,AAPL
2003,0.1489,1489.0,AAPL
2004,0.3146,3146.0,AAPL
2005,0.2425,2425.0,AAPL
2006,0.3165,3165.0,AAPL
2007,0.2945,2945.0,AAPL
2008,-0.1409,-1409.0,AAPL
2009,0.1594,1594.0,AAPL
2010,0.1055,1055.0,AAPL
2011,0.0722,722.0,AAPL
2012,0.127,1270.0,AAPL
2013,-0.082,-820.0,AAPL
2014,0.1033,1033.0,AAPL
2015,0.1397,1397.0,AAPL
2016,0.0,0.0,AAPL
2017,0.1216,1216.0,AAPL
2018,0.0696,696.0,AAPL
2019,0.2364,2364.0,AAPL
2020,0.0279,279.0,AAPL
2013,0.099,990.0,ABBV
2014,0.0694,694.0,ABBV
2015,0.1628,1628.0,ABBV
2016,0.0634,634.0,ABBV
2017,0.136,1360.0,ABBV
2018,-0.0617,-617.0,ABBV
2019,-0.0607,-607.0,ABBV
2020,0.0168,168.0,ABBV
2000,0.151,1510.0,ABT
2001,0.0568,568.0,ABT
2002,-0.0586,-586.0,ABT
2003,0.0857,857.0,ABT
2004,0.0,0.0,ABT
2005,0.0137,137.0,ABT
2006,0.0474,474.0,ABT
2007,0.0457,457.0,ABT
2008,0.0834,834.0,ABT
2009,0.0348,348.0,ABT
2010,0.0359,359.0,ABT
2011,0.0524,524.0,ABT
2012,0.0566,566.0,ABT
2013,0.0295,295.0,ABT
2014,0.0433,433.0,ABT
2015,0.0287,287.0,ABT
2016,0.1221,1221.0,ABT
2017,0.0874,874.0,ABT
2018,0.0649,649.0,ABT
2019,0.0568,568.0,ABT
2020,0.0692,692.0,ABT
2001,0.2111,2111.0,ACN
2002,-0.0814,-814.0,ACN
2003,0.1295,1295.0,ACN
2004,0.0483,483.0,ACN
2005,0.0619,619.0,ACN
2006,0.1052,1052.0,ACN
2007,0.0264,264.0,ACN
2008,0.1309,1309.0,ACN
2009,0.1375,1375.0,ACN
2010,0.0907,907.0,ACN
2011,0.0838,838.0,ACN
2012,0.0542,542.0,ACN
2013,0.0316,316.0,ACN
2014,0.0278,278.0,ACN
2015,0.0448,448.0,ACN
2016,0.03,300.0,ACN
2017,0.0546,546.0,ACN
2018,0.0394,394.0,ACN
2019,0.0921,921.0,ACN
2020,0.0898,898.0,ACN
2000,0.5366,5366.0,ADBE
2001,-0.0615,-615.0,ADBE
2002,-0.0113,-113.0,ADBE
2003,0.1961,1961.0,ADBE
2004,0.1338,1338.0,ADBE
2005,0.1279,1279.0,ADBE
2006,-0.0254,-254.0,ADBE
2007,0.026,260.0,ADBE
2008,-0.2855,-2855.0,ADBE
2009,0.3211,3211.0,ADBE
2010,0.0,0.0,ADBE
2011,-0.0081,-81.0,ADBE
2012,0.0586,586.0,ADBE
2013,0.1151,1151.0,ADBE
2014,0.0974,974.0,ADBE
2015,0.0605,605.0,ADBE
2016,0.1125,1125.0,ADBE
2017,0.135,1350.0,ADBE
2018,0.1441,1441.0,ADBE
2019,0.0942,942.0,ADBE
2020,0.0475,475.0,ADBE
2000,0.3583,3583.0,AMGN
2001,0.2139,2139.0,AMGN
2002,-0.1229,-1229.0,AMGN
2003,0.0834,834.0,AMGN
2004,0.0,0.0,AMGN
2005,0.0934,934.0,AMGN
2006,0.0,0.0,AMGN
2007,-0.1284,-1284.0,AMGN
2008,-0.0351,-351.0,AMGN
2009,0.066,660.0,AMGN
2010,0.0,0.0,AMGN
2011,0.0356,356.0,AMGN
2012,0.0875,875.0,AMGN
2013,0.1188,1188.0,AMGN
2014,0.0856,856.0,AMGN
2015,0.0138,138.0,AMGN
2016,0.0353,353.0,AMGN
2017,0.0698,698.0,AMGN
2018,0.0277,277.0,AMGN
2019,0.0812,812.0,AMGN
2020,0.0399,399.0,AMGN
2000,-0.5858,-5858.0,AMZN
2001,0.5804,5804.0,AMZN
2002,0.5227,5227.0,AMZN
2003,0.2838,2838.0,AMZN
2004,-0.127,-1270.0,AMZN
2005,0.0754,754.0,AMZN
2006,-0.1051,-1051.0,AMZN
2007,0.2717,2717.0,AMZN
2008,-0.2116,-2116.0,AMZN
2009,0.2628,2628.0,AMZN
2010,0.1373,1373.0,AMZN
2011,0.1261,1261.0,AMZN
2012,0.1325,1325.0,AMZN
2013,0.1164,1164.0,AMZN
2014,0.0,0.0,AMZN
2015,0.3209,3209.0,AMZN
2016,0.179,1790.0,AMZN
2017,0.0913,913.0,AMZN
2018,0.1246,1246.0,AMZN
2019,0.1258,1258.0,AMZN
2020,0.1001,1001.0,AMZN
2009,0.064,640.0,AVGO
2010,0.1692,1692.0,AVGO
2011,0.1075,1075.0,AVGO
2012,0.0933,933.0,AVGO
2013,0.1372,1372.0,AVGO
2014,0.2126,2126.0,AVGO
2015,0.2254,2254.0,AVGO
2016,0.1135,1135.0,AVGO
2017,0.107,1070.0,AVGO
2018,0.0,0.0,AVGO
2019,0.1196,1196.0,AVGO
2020,-0.123,-1230.0,AVGO
2000,0.0639,639.0,AXP
2001,-0.2457,-2457.0,AXP
2002,0.0146,146.0,AXP
2003,0.0964,964.0,AXP
2004,0.0287,287.0,AXP
2005,0.0151,151.0,AXP
2006,0.0592,592.0,AXP
2007,0.0126,126.0,AXP
2008,-0.4399,-4399.0,AXP
2009,0.1351,1351.0,AXP
2010,0.0689,689.0,AXP
2011,0.0713,713.0,AXP
2012,0.0437,437.0,AXP
2013,0.0962,962.0,AXP
2014,0.0513,513.0,AXP
2015,0.0,0.0,AXP
2016,-0.0577,-577.0,AXP
2017,0.0667,667.0,AXP
2018,0.0415,415.0,AXP
2019,0.0696,696.0,AXP
2020,-0.0549,-549.0,AXP
2000,0.0691,691.0,BA
2001,0.0026,26.0,BA
2002,-0.0964,-964.0,BA
2003,0.1027,1027.0,BA
2004,0.066,660.0,BA
2005,0.0576,576.0,BA
2006,0.1072,1072.0,BA
2007,0.041,410.0,BA
2008,-0.1268,-1268.0,BA
2009,-0.0039,-39.0,BA
2010,0.1093,1093.0,BA
2011,0.1444,1444.0,BA
2012,0.0126,126.0,BA
2013,0.1606,1606.0,BA
2014,0.0,0.0,BA
2015,0.1046,1046.0,BA
2016,0.1229,1229.0,BA
2017,0.1673,1673.0,BA
2018,0.0738,738.0,BA
2019,0.0728,728.0,BA
2020,-0.2515,-2515.0,BA
2000,-0.0184,-184.0,BAC
2001,0.1328,1328.0,BAC
2002,0.0394,394.0,BAC
2003,0.0656,656.0,BAC
2004,0.0265,265.0,BAC
2005,0.0,0.0,BAC
2006,0.0463,463.0,BAC
2007,0.0,0.0,BAC
2008,-0.0498,-498.0,BAC
2009,0.5088,5088.0,BAC
2010,-0.0496,-496.0,BAC
2011,-0.2704,-2704.0,BAC
2012,0.2068,2068.0,BAC
2013,0.0787,787.0,BAC
2014,0.0809,809.0,BAC
2015,0.0467,467.0,BAC
2016,0.0487,487.0,BAC
2017,0.0586,586.0,BAC
2018,0.0288,288.0,BAC
2019,0.0644,644.0,BAC
2020,-0.1585,-1585.0,BAC
2000,-1.0351,-10351.0,BKNG
2001,0.7324,7324.0,BKNG
2002,-0.1171,-1171.0,BKNG
2003,0.1905,1905.0,BKNG
2004,0.0266,266.0,BKNG
2005,0.2039,2039.0,BKNG
2006,0.1957,1957.0,BKNG
2007,0.2587,2587.0,BKNG
2008,0.0823,823.0,BKNG
2009,0.2986,2986.0,BKNG
2010,0.1165,1165.0,BKNG
2011,0.2005,2005.0,BKNG
2012,0.1339,1339.0,BKNG
2013,0.1572,1572.0,BKNG
2014,0.0332,332.0,BKNG
2015,0.1112,1112.0,BKNG
2016,-0.025,-250.0,BKNG
2017,0.0646,646.0,BKNG
2018,0.0653,653.0,BKNG
2019,0.0,0.0,BKNG
2020,-0.2043,-2043.0,BKNG
2000,0.4132,4132.0,BLK
2001,-0.0715,-715.0,BLK
2002,0.0149,149.0,BLK
2003,0.082,820.0,BLK
2004,0.098,980.0,BLK
2005,0.0985,985.0,BLK
2006,0.1769,1769.0,BLK
2007,0.1881,1881.0,BLK
2008,0.0917,917.0,BLK
2009,0.1022,1022.0,BLK
2010,-0.0723,-723.0,BLK
2011,0.1034,1034.0,BLK
2012,0.0774,774.0,BLK
2013,0.1124,1124.0,BLK
2014,0.0296,296.0,BLK
2015,0.0155,155.0,BLK
2016,0.0507,507.0,BLK
2017,0.0687,687.0,BLK
2018,-0.1087,-1087.0,BLK
2019,0.1175,1175.0,BLK
2020,-0.043,-430.0,BLK
2000,0.0317,317.0,BMY
2001,-0.1331,-1331.0,BMY
2002,-0.2402,-2402.0,BMY
2003,0.0442,442.0,BMY
2004,0.0171,171.0,BMY
2005,0.0,0.0,BMY
2006,0.1448,1448.0,BMY
2007,0.0422,422.0,BMY
2008,-0.0699,-699.0,BMY
2009,0.0606,606.0,BMY
2010,0.0254,254.0,BMY
2011,0.0578,578.0,BMY
2012,0.0,0.0,BMY
2013,0.1027,1027.0,BMY
2014,0.087,870.0,BMY
2015,0.0671,671.0,BMY
2016,-0.0801,-801.0,BMY
2017,0.0609,609.0,BMY
2018,0.0183,183.0,BMY
2019,-0.0561,-561.0,BMY
2020,0.1075,1075.0,BMY
2000,0.1146,1146.0,BRK.B
2001,0.0144,144.0,BRK.B
2002,0.013,130.0,BRK.B
2003,0.063,630.0,BRK.B
2004,0.0289,289.0,BRK.B
2005,0.0,0.0,BRK.B
2006,0.0897,897.0,BRK.B
2007,0.0686,686.0,BRK.B
2008,0.1548,1548.0,BRK.B
2009,-0.0433,-433.0,BRK.B
2010,0.0827,827.0,BRK.B
2011,0.0138,138.0,BRK.B
2012,0.0492,492.0,BRK.B
2013,0.0673,673.0,BRK.B
2014,0.0568,568.0,BRK.B
2015,0.0,0.0,BRK.B
2016,0.0321,321.0,BRK.B
2017,0.0411,411.0,BRK.B
2018,0.0277,277.0,BRK.B
2019,0.0129,129.0,BRK.B
2020,0.0,0.0,BRK.B
2000,0.1417,1417.0,C
2001,0.0179,179.0,C
2002,0.0204,204.0,C
2003,0.091,910.0,C
2004,0.0258,258.0,C
2005,0.0,0.0,C
2006,0.0532,532.0,C
2007,-0.1735,-1735.0,C
2008,-0.4454,-4454.0,C
2009,-0.2483,-2483.0,C
2010,0.092,920.0,C
2011,0.061,610.0,C
2012,0.0228,228.0,C
2013,0.0686,686.0,C
2014,0.0551,551.0,C
2015,0.0284,284.0,C
2016,-0.0457,-457.0,C
2017,0.0629,629.0,C
2018,-0.1396,-1396.0,C
2019,0.0988,988.0,C
2020,-0.2043,-2043.0,C
2000,-0.0043,-43.0,CAT
2001,0.0734,734.0,CAT
2002,-0.0608,-608.0,CAT
2003,0.184,1840.0,CAT
2004,0.0802,802.0,CAT
2005,0.0437,437.0,CAT
2006,0.0836,836.0,CAT
2007,0.0576,576.0,CAT
2008,0.1653,1653.0,CAT
2009,0.1481,1481.0,CAT
2010,0.1913,1913.0,CAT
2011,-0.0515,-515.0,CAT
2012,0.0364,364.0,CAT
2013,0.0735,735.0,CAT
2014,0.111,1110.0,CAT
2015,-0.097,-970.0,CAT
2016,0.0966,966.0,CAT
2017,0.1337,1337.0,CAT
2018,0.1013,1013.0,CAT
2019,0.1031,1031.0,CAT
2020,-0.0869,-869.0,CAT
2000,0.3049,3049.0,CB
2001,-0.0399,-399.0,CB
2002,0.052,520.0,CB
2003,-0.029,-290.0,CB
2004,0.021,210.0,CB
2005,0.1323,1323.0,CB
2006,0.0286,286.0,CB
2007,0.0511,511.0,CB
2008,0.4442,4442.0,CB
2009,-0.0388,-388.0,CB
2010,0.0301,301.0,CB
2011,0.0899,899.0,CB
2012,0.0308,308.0,CB
2013,0.0559,559.0,CB
2014,0.0287,287.0,CB
2015,0.0129,129.0,CB
2016,0.0268,268.0,CB
2017,0.0405,405.0,CB
2018,0.0,0.0,CB
2019,0.0504,504.0,CB
2020,-0.1257,-1257.0,CB
2000,0.6197,6197.0,CELG
2001,-0.0023,-23.0,CELG
2002,-0.1945,-1945.0,CELG
2003,0.2597,2597.0,CELG
2004,0.2065,2065.0,CELG
2005,0.2881,2881.0,CELG
2006,0.2428,2428.0,CELG
2007,-0.0454,-454.0,CELG
2008,0.2013,2013.0,CELG
2009,0.2213,2213.0,CELG
2010,0.0335,335.0,CELG
2011,0.0503,503.0,CELG
2012,0.0886,886.0,CELG
2013,0.1911,1911.0,CELG
2014,0.1303,1303.0,CELG
2015,0.0734,734.0,CELG
2016,0.0,0.0,CELG
2017,0.067,670.0,CELG
2018,-0.267,-2670.0,CELG
2019,0.1437,1437.0,CELG
2009,0.026,260.0,CHTR
2010,0.08,800.0,CHTR
2011,0.1069,1069.0,CHTR
2012,0.1266,1266.0,CHTR
2013,0.194,1940.0,CHTR
